order_id,line_item_id,customer_id,order_date,ship_date,ship_mode,delivery_address,delivery_lat,delivery_lon,product_id,quantity,sales,discount,profit
12b87326-d30d-4942-a67f-a138753ecdec,12b87326-d30d-4942-a67f-a138753ecdec-1,735,2024-05-31,2024-06-05,First Class,"2306 BITTER CREEK DR, Austin TX 78744",30.1834919982982,-97.7599702293785,380,6,406.88,0.39,111.68
dfc6854f-2f8f-4adc-a00d-c695c8d85c71,dfc6854f-2f8f-4adc-a00d-c695c8d85c71-1,759,2024-07-27,2024-07-28,Same Day,"17917 CIPRESSO WAY, Pflugerville TX 78660",30.435858878996,-97.5590818823277,485,8,306.73,0.16,48.9
dfc6854f-2f8f-4adc-a00d-c695c8d85c71,dfc6854f-2f8f-4adc-a00d-c695c8d85c71-2,759,2024-07-27,2024-07-28,Same Day,"17917 CIPRESSO WAY, Pflugerville TX 78660",30.435858878996,-97.5590818823277,61,10,1104.88,0.28,373.44
dfc6854f-2f8f-4adc-a00d-c695c8d85c71,dfc6854f-2f8f-4adc-a00d-c695c8d85c71-3,759,2024-07-27,2024-07-28,Same Day,"17917 CIPRESSO WAY, Pflugerville TX 78660",30.435858878996,-97.5590818823277,5,2,405.41,0.44,109.94
fb883990-5541-4446-afc0-63412319f5cc,fb883990-5541-4446-afc0-63412319f5cc-1,727,2023-10-04,2023-10-07,Standard Class,"600 PAUL ST, Pflugerville TX 78660",30.4371417256556,-97.6167211596391,194,3,202.97,0.33,41.29
fb883990-5541-4446-afc0-63412319f5cc,fb883990-5541-4446-afc0-63412319f5cc-2,727,2023-10-04,2023-10-07,Standard Class,"600 PAUL ST, Pflugerville TX 78660",30.4371417256556,-97.6167211596391,167,10,1041.86,0.47,122.92
fb883990-5541-4446-afc0-63412319f5cc,fb883990-5541-4446-afc0-63412319f5cc-3,727,2023-10-04,2023-10-07,Standard Class,"600 PAUL ST, Pflugerville TX 78660",30.4371417256556,-97.6167211596391,158,5,640.38,0.47,142.29
fb883990-5541-4446-afc0-63412319f5cc,fb883990-5541-4446-afc0-63412319f5cc-4,727,2023-10-04,2023-10-07,Standard Class,"600 PAUL ST, Pflugerville TX 78660",30.4371417256556,-97.6167211596391,317,6,300.23,0.33,37.36
fb883990-5541-4446-afc0-63412319f5cc,fb883990-5541-4446-afc0-63412319f5cc-5,727,2023-10-04,2023-10-07,Standard Class,"600 PAUL ST, Pflugerville TX 78660",30.4371417256556,-97.6167211596391,65,7,796.94,0.06,141.15
30692db0-c3e7-42cf-a1a5-b766ec7d4f6b,30692db0-c3e7-42cf-a1a5-b766ec7d4f6b-1,906,2024-01-22,2024-01-28,Standard Class,"22506 SPANISH DAGGER TRL, Spicewood TX 78669",30.3742024358456,-98.0751287227384,163,3,81.17,0.13,33.33
30692db0-c3e7-42cf-a1a5-b766ec7d4f6b,30692db0-c3e7-42cf-a1a5-b766ec7d4f6b-2,906,2024-01-22,2024-01-28,Standard Class,"22506 SPANISH DAGGER TRL, Spicewood TX 78669",30.3742024358456,-98.0751287227384,296,9,568.0,0.35,104.88
5fac6e19-2b59-45d9-858b-379111e8e9b5,5fac6e19-2b59-45d9-858b-379111e8e9b5-1,685,2023-09-27,2023-10-04,Standard Class,"301 HICKOK CT, Austin TX 78753",30.3670530440769,-97.6874329958495,75,5,949.09,0.25,172.05
28efe13b-ff52-4d5c-a928-5919bb7f2a65,28efe13b-ff52-4d5c-a928-5919bb7f2a65-1,178,2024-07-30,2024-08-02,Same Day,"8717 LEISURE DR, Austin TX 78754",30.3428246229821,-97.6734616644239,196,10,613.57,0.3,203.47
0d769d7d-43cb-44f9-a72e-7aa41c739d80,0d769d7d-43cb-44f9-a72e-7aa41c739d80-1,909,2023-11-08,2023-11-12,First Class,"3163 EVA ST, Del Valle TX 78617",30.2045608217979,-97.6385058083356,346,10,1018.96,0.34,68.11
0d769d7d-43cb-44f9-a72e-7aa41c739d80,0d769d7d-43cb-44f9-a72e-7aa41c739d80-2,909,2023-11-08,2023-11-12,First Class,"3163 EVA ST, Del Valle TX 78617",30.2045608217979,-97.6385058083356,325,3,399.3,0.35,82.74
0d769d7d-43cb-44f9-a72e-7aa41c739d80,0d769d7d-43cb-44f9-a72e-7aa41c739d80-3,909,2023-11-08,2023-11-12,First Class,"3163 EVA ST, Del Valle TX 78617",30.2045608217979,-97.6385058083356,359,6,860.81,0.34,213.62
0d769d7d-43cb-44f9-a72e-7aa41c739d80,0d769d7d-43cb-44f9-a72e-7aa41c739d80-4,909,2023-11-08,2023-11-12,First Class,"3163 EVA ST, Del Valle TX 78617",30.2045608217979,-97.6385058083356,309,2,262.59,0.48,40.93
e17becc3-6da1-44a2-9a96-ca452ab590f1,e17becc3-6da1-44a2-9a96-ca452ab590f1-1,787,2023-12-24,2023-12-29,First Class,"801 N LEXINGTON ST, Manor TX 78653",30.3470876650099,-97.5566082301574,444,2,821.15,0.22,147.58
e17becc3-6da1-44a2-9a96-ca452ab590f1,e17becc3-6da1-44a2-9a96-ca452ab590f1-2,787,2023-12-24,2023-12-29,First Class,"801 N LEXINGTON ST, Manor TX 78653",30.3470876650099,-97.5566082301574,7,4,1430.67,0.26,172.44
e17becc3-6da1-44a2-9a96-ca452ab590f1,e17becc3-6da1-44a2-9a96-ca452ab590f1-3,787,2023-12-24,2023-12-29,First Class,"801 N LEXINGTON ST, Manor TX 78653",30.3470876650099,-97.5566082301574,263,10,645.33,0.38,89.13
