order_id,customer_id,order_date,ship_date,ship_mode,delivery_address,delivery_lat,delivery_lon
0ce6d191-4d13-4018-8fbb-4cbc73b30fda,198,2024-05-11,2024-05-18,First Class,"2108 TASMANIAN TIGER TRCE, Austin TX 78728",30.4485260667404,-97.6727450109481
df7cbf58-3b7f-4d97-a51f-587adad491fb,1000,2024-04-23,2024-04-27,Second Class,"9 HILLSIDE CT, Austin TX 78746",30.2849884418677,-97.8154141283401
a5bbcc90-85e5-4d37-868f-a4a913fb9fd0,145,2024-03-07,2024-03-13,Same Day,"10132 WADING POOL PATH, Austin TX 78748",30.1677504008,-97.8203038380946
1f1f3f09-25c1-4735-bee7-1a2d04894cf6,442,2024-08-09,2024-08-12,Standard Class,"12405 RUBIX RD, Del Valle TX 78617",30.1763380597881,-97.6233483620701
3851c8e4-5fb1-4166-ba07-71fdcd16d668,328,2024-08-26,2024-08-30,Second Class,"1100 BROOKSWOOD AVE, Austin TX 78721",30.2640379958951,-97.6902561995649
9027bb79-5b2b-48cd-814a-32962b3fe32a,263,2024-01-21,2024-01-27,First Class,"22412 LAVENDER COTTON WAY, Marble Falls TX 78654",30.4882908653588,-97.9983449803849
ff990c2d-d8ca-4fb1-bbb1-ed4069670a6a,758,2023-10-10,2023-10-14,Standard Class,"120 LAKOTA PASS, Austin TX 78738",30.3383429126853,-97.9583626720911
72d9aedb-e1f6-4fc7-a7a7-171757388b7a,470,2024-05-24,2024-05-31,First Class,"14314 JENNAVE LN, Austin TX 78728",30.4373654190906,-97.67684591095
299b3a22-018c-43f7-b6b9-f5c56bb34fa9,964,2023-12-15,2023-12-16,Same Day,"6209 MERRIWOOD DR, Austin TX 78745",30.199842283645,-97.7805627301496
640c7892-2ba1-4250-88d1-7c4fa92fb02a,371,2024-03-06,2024-03-12,First Class,"4701 CALLISTO TER, Austin TX 78727",30.4284338900766,-97.7231856171707
02b68d62-cd40-4fa6-b8f5-7ae77025291a,810,2024-01-21,2024-01-28,Standard Class,"6204 CAPE CORAL DR, Austin TX 78746",30.2833290709247,-97.8380046718477
9db0d517-e775-4612-9c8a-d2a03f0d0ba9,520,2024-08-21,2024-08-22,Same Day,"13712 ANN PL, Austin TX 78728",30.4274063717337,-97.6751264537495
ea77144f-388c-4830-ab89-a6cbb3050d2f,172,2023-11-27,2023-12-03,First Class,"1702 1/2 MARCUS ABRAMS BLVD, Austin TX 78748",30.1548800247593,-97.8337693299804
78240701-c21a-48af-93e3-6dd00e8c99bf,75,2024-04-22,2024-04-27,Same Day,"8506 BARGAMIN DR, Austin TX 78736",30.2413559818236,-97.8968174516524
dd62a056-cf51-4beb-81b4-0cf3cb2d0857,375,2023-09-08,2023-09-10,Second Class,"310 1/2 E 7TH ST, Austin TX 78701",30.2681539997423,-97.739099999166
effef396-26ce-4afa-984b-fdd90e897526,626,2023-11-24,2023-11-26,Second Class,"6307 LAKEWOOD HOLW, Austin TX 78750",30.373958047336,-97.7886934078373
1f7bc2d7-9745-4211-b039-15fce9268e9b,896,2024-05-24,2024-05-26,Second Class,"15802 1/2 CRISSOM LN, Austin TX 78728",30.4610384247356,-97.6792028090828
0be2d6fa-1062-4b8c-9c8d-8f62352ada96,192,2023-11-30,2023-12-03,First Class,"4905 STRASS DR, Austin TX 78731",30.3223622126232,-97.7459557743277
309017bd-b179-41c8-94fa-b5e9c0f33dcf,926,2023-10-18,2023-10-25,First Class,"7517 STONECLIFF CIR, Austin TX 78731",30.3599713492564,-97.7540231396525
9b447a1a-6d15-47fa-a708-dd99f34b4fe9,243,2023-11-17,2023-11-21,Same Day,"12105 TWEED CT, Austin TX 78727",30.4263760617542,-97.7482916402048
46ec93e8-ffea-4bf3-8040-35fa47f21c64,975,2024-01-31,2024-02-02,First Class,"1809 CAMINO VIEJO, Austin TX 78758",30.4068273960735,-97.6931700298177
46deeaa3-ad1e-456a-a8ef-e4bde3b1c3ab,138,2024-03-15,2024-03-16,Standard Class,"5626 WAGON TRAIN RD, Austin TX 78749",30.223248234199,-97.8615040858439
ec207a2d-b6d6-49d7-90c8-66673855404e,8,2024-05-25,2024-05-31,First Class,"19801 WT GALLAWAY ST, Manor TX 78653",30.3548715320405,-97.507380901134
655d1389-c5b2-4d44-a098-74ef3ec17cc9,378,2024-02-02,2024-02-07,Same Day,"1710 GILES ST, Austin TX 78722",30.2898596479139,-97.712947048957
b4acee51-8ad0-4e8a-a6d3-d944f8dffcb7,335,2024-07-05,2024-07-12,Second Class,"8301 HILLOCK TER, Austin TX 78744",30.1491805506267,-97.7131786175693
d74bc92a-657e-41cd-b11a-055711e99825,716,2024-05-01,2024-05-07,Standard Class,"9023 COPANO DR, Austin TX 78749",30.2001157923706,-97.8587998990222
81c208f1-d8bf-43f0-8f1d-126b9304faf6,330,2024-04-20,2024-04-24,First Class,"2120 SISTERDALE LN, Austin TX 78754",30.3627017566233,-97.6633158337886
