order_id,customer_id,order_date,ship_date,ship_mode,delivery_address,delivery_lat,delivery_lon,delivery_h3,total_sales,total_quantity,total_profit
30692db0-c3e7-42cf-a1a5-b766ec7d4f6b,906,2024-01-22,2024-01-28,"Standard Class","22506 SPANISH DAGGER TRL, Spicewood TX 78669",30.37420244,-98.07512872,631781082620577279,649.17,12,138.21
f18af684-9f1b-45a9-b439-d53726415c7a,326,2023-11-10,2023-11-12,"Same Day","8511 GANTTCREST DR, Austin TX 78749",30.21061221,-97.86728500,631781088852045311,1897.89,22,356.15
4bd82227-4346-4839-9822-adaf39d27d24,164,2023-12-29,2024-01-02,"Second Class","10000 WOODHAVEN DR, Austin TX 78753",30.36061768,-97.67747942,631781452189344767,2404.26,25,543.39
16c484ad-65f6-4be2-a580-ed8fe9e65984,434,2023-12-27,2023-12-30,"First Class","16720 DEFENDORF DR, Pflugerville TX 78660",30.45148469,-97.55275682,631781455547174399,2474.29,15,809.20
69bc1c39-5d1f-4a43-af60-532e58f68aa5,105,2024-03-13,2024-03-15,"First Class","1903 HOLLY HILL DR, Austin TX 78746",30.26179311,-97.80205089,631781457639629311,644.53,9,51.19
b2a4eb93-5e9e-4e4e-82ac-e5337b6dcbdc,428,2023-12-03,2023-12-05,"Second Class","10105 WIND CAVE TRL, Austin TX 78747",30.15208829,-97.78385814,631781489575777791,1111.72,2,327.35
e90d3b7f-3b86-43cd-a0dc-3c81f5285cce,233,2023-10-15,2023-10-16,"First Class","412 KENNISTON DR, Austin TX 78752",30.33437429,-97.71509895,631781457307985407,2623.64,10,554.13
dfd9d6d3-3200-4bcb-b7db-19e2825deba6,958,2024-04-06,2024-04-07,"Second Class","8201 DARK RIDGE CV, Austin TX 78737",30.22560152,-97.88906561,631781088868797951,2717.18,32,645.81
52e135c6-eedb-41dd-a48b-f02a8a7635a8,900,2024-07-30,2024-08-04,"Standard Class","1105 VASQUEZ ST, Austin TX 78741",30.23024764,-97.69415664,631781457707195903,1015.20,13,295.72
77e0aba7-0d91-4f71-88d4-2eadb68a6f2b,939,2024-04-06,2024-04-07,"Same Day","2308 W 10TH ST, Austin TX 78703",30.28393390,-97.77095260,631781456865200639,2085.60,20,539.86
35a1e159-8ec3-4347-ba90-198f6dea0469,524,2024-01-27,2024-02-03,"Second Class","10628 CLAYWOOD DR, Austin TX 78753",30.36647056,-97.67151066,631781453487159295,134.63,8,34.59
6d027018-2b9d-426e-99e6-581f96262344,51,2024-02-03,2024-02-06,"Second Class","3605 LIN LN, Spicewood TX 78669",30.39241693,-98.09881322,631781085966164479,1511.06,11,531.56
65585672-bd55-4da8-a420-4b2f4eb4112e,417,2024-07-29,2024-07-30,"Same Day","11308 HILLTOP ST, Austin TX 78753",30.38056461,-97.68125304,631781453476742655,1238.11,2,157.40
363a37de-76b9-4303-8ec0-c5e383da7cc8,146,2023-11-11,2023-11-15,"Standard Class","2601 HARROWDEN DR, Austin TX 78727",30.42552370,-97.69920281,631781452928803839,2054.91,17,496.65
3243a1dc-f5ca-413a-8871-e8551c9e5071,904,2024-07-15,2024-07-18,"Same Day","5604 STRATHERN DR, Austin TX 78724",30.28401517,-97.63815337,631781452041995263,1070.52,10,213.71
bff70501-48ce-408f-8282-342e060e02df,940,2024-03-30,2024-03-31,"Standard Class","6605 ARIOCK CV, Austin TX 78739",30.19078994,-97.89645560,631781089432748543,3250.25,25,720.05
efe18ee9-4dab-4dce-86e6-c55835c705a8,876,2024-05-12,2024-05-13,"Same Day","8107 KIRKHAM DR, Austin TX 78736",30.23770900,-97.89261996,631781088855642623,155.82,3,22.50
1975a443-558f-4365-bd84-1eb353ef2dde,602,2024-02-06,2024-02-07,"Second Class","11202 BURTON ST, Manor TX 78653",30.33978422,-97.56363850,631781451540736511,1057.51,3,239.88
5f4ee2cd-3b4b-450e-a4d8-c63545aee1d4,214,2024-07-06,2024-07-10,"First Class","14910 ARROWHEAD DR, Leander TX 78641",30.42720035,-97.90105811,631781084765840895,3009.39,23,437.06
cbcc15a3-8684-4121-a246-30954ee87f8d,618,2024-03-29,2024-04-05,"First Class","14763 BOIS D ARC RD, Manor TX 78653",30.37508266,-97.49713274,631781454383164927,2015.03,16,627.05
75cc9a0a-0e13-4285-a50d-17870c44e6ca,157,2024-06-16,2024-06-18,"Same Day","18712 LEIGH LN, Pflugerville TX 78660",30.44929403,-97.55254407,631781455547270655,2357.77,28,254.41
c25de6bf-095b-4168-b0c9-de41b6894a08,94,2023-11-06,2023-11-09,"First Class","20503 NATIONAL DR, Leander TX 78645",30.43751818,-97.99614960,631781086192731135,2367.94,25,532.05
7576bcf0-1585-469d-90dc-735f02ff112e,391,2024-04-17,2024-04-24,"Standard Class","13112 STATON DR, Austin TX 78727",30.42060956,-97.68414360,631781452915018751,2006.27,35,337.68
e146c429-4050-40a5-b060-3edb1b0fb8bc,121,2024-08-19,2024-08-23,"Same Day","1712 W ANDERSON LN, Austin TX 78757",30.35317802,-97.72384330,631781457321744383,1207.68,16,277.61
98a3ab4b-8096-43c0-b62c-d5defd1924bb,425,2024-02-01,2024-02-07,"Same Day","6108 GUNNISON TURN RD, Austin TX 78738",30.32962514,-98.03575408,631781082425035263,2077.42,17,502.90
c0cd5543-4c6b-43d2-bddc-f192169c59ba,201,2023-10-21,2023-10-27,"Second Class","1408 1/2 E RIVERSIDE DR, Austin TX 78741",30.24755273,-97.73332092,631781457729285119,1835.30,22,240.78
80b43e42-7cae-47c5-98c5-6b7b5217e379,607,2024-03-04,2024-03-11,"Same Day","13500 RICHARD NIXON ST, Manor TX 78653",30.35550171,-97.52644649,631781451784324095,728.10,1,145.66
534a46d3-f592-4e6a-a5f7-26c6fcafb03a,307,2024-08-15,2024-08-22,"Second Class","4310 AVENUE D, Austin TX 78751",30.30782928,-97.73043453,631781457338375679,3101.60,26,436.18
5193917b-10da-4e96-8155-90f6b49c1a41,832,2024-01-25,2024-01-28,"First Class","704 E OXFORD DR, Pflugerville TX 78660",30.43142018,-97.61774497,631781455349702143,3940.40,14,1074.75
18ca20a6-fa92-453f-a8b0-c9f7ff766685,463,2024-06-29,2024-07-06,"Standard Class","20305 HIDDEN GULLY LN, Pflugerville TX 78660",30.49315377,-97.59775294,631781454810567679,2674.25,23,875.87
cc4bcf55-e7e3-4ec0-9a22-cd68f70e5b14,755,2023-10-23,2023-10-27,"Second Class","8413 S FM 973 RD, Austin TX 78719",30.13322570,-97.68137616,631781456353433599,3289.65,21,687.24
